dataset_id,scenario,seed,policy_id,total_requests,mean_latency_ms,median_latency_ms,p95_latency_ms,max_latency_ms,migration_count,migration_rate_per_second,migration_rate_per_request,migration_bytes_total,mean_holding_time_s,total_network_traffic_bytes,max_requests_per_peer,request_imbalance
small-shifting-seed-003,shifting,3,lowest_rtt_w10,329,26.006074,2.000000,147.519529,199.743914,25,0.416667,0.075988,102400,6.428571,186624,75,2.279635
small-shifting-seed-003,shifting,3,lowest_rtt_w50,329,42.908488,32.494498,154.602202,199.743914,14,0.233333,0.042553,57344,10.588235,141568,150,4.559271
small-shifting-seed-003,shifting,3,nearest_h0,329,130.219236,146.781137,192.730649,199.743914,3,0.050000,0.009119,12288,30.000000,96512,118,3.586626
small-shifting-seed-003,shifting,3,nearest_h5,329,128.993029,146.781137,192.730649,199.743914,3,0.050000,0.009119,12288,30.000000,96512,109,3.313070
small-shifting-seed-003,shifting,3,oracle_a0,329,3.119510,2.000000,2.000000,199.743914,85,1.416667,0.258359,348160,2.045455,432384,88,2.674772
small-shifting-seed-003,shifting,3,oracle_a1,329,10.922323,2.000000,53.183369,199.743914,56,0.933333,0.170213,229376,3.050847,313600,83,2.522796
small-shifting-seed-003,shifting,3,oracle_a10,329,17.862005,2.000000,114.931686,199.743914,16,0.266667,0.048632,65536,9.473684,149760,72,2.188450
small-shifting-seed-003,shifting,3,static,329,93.539024,94.757752,199.743914,199.743914,0,0.000000,0.000000,0,60.000000,84224,119,3.617021
small-uniform-seed-001,uniform,1,engagement_aware_r1500_g05_d2,358,108.135954,105.275905,201.343616,201.343616,1,0.016667,0.002793,4096,45.000000,95744,122,3.407821
small-uniform-seed-001,uniform,1,engagement_aware_r250_g05_d2,358,85.925983,72.641029,188.415484,188.415484,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-uniform-seed-001,uniform,1,engagement_aware_r500_g03_d0,358,86.453484,64.811291,188.415484,193.824434,14,0.233333,0.039106,57344,10.588235,148992,119,3.324022
small-uniform-seed-001,uniform,1,engagement_aware_r500_g05_d2,358,85.925983,72.641029,188.415484,188.415484,3,0.050000,0.008380,12288,30.000000,103936,121,3.379888
small-uniform-seed-001,uniform,1,interaction_aware_w10,358,89.453913,72.641029,188.415484,201.343616,104,1.733333,0.290503,425984,1.682243,517632,73,2.039106
