sweep,knob_name,knob_value,policy_id,n_seeds,total_served_ms_mean,total_migration_rtt_ms_mean,mean_migration_rtt_ms_mean,migration_count_mean,migration_bytes_total_mean,mean_migration_bytes_per_migration_mean,combined_ms_alpha0.5_mean,combined_ms_alpha0.5_std,combined_ms_alpha1_mean,combined_ms_alpha1_std,combined_ms_alpha2_mean,combined_ms_alpha2_std
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d10.0,30,311533.222874,5789.465193,101.121524,57.133333,234018.133333,4096.000000,314427.955471,21074.164225,317322.688067,21349.112283,323112.153260,21907.940243
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d2.0,30,217681.146379,16111.906764,107.386900,150.033333,614536.533333,4096.000000,225737.099761,11994.132922,233793.053142,12648.380259,249904.959906,13972.473710
ambiguity,dominant_peer_ratio,0.7,engagement_g00_d5.0,30,281199.047105,15805.076475,107.518441,147.000000,602112.000000,4096.000000,289101.585343,17898.510158,297004.123580,18586.895635,312809.200054,19970.517358
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d0.0,30,176163.381599,16263.061768,107.328853,151.566667,620817.066667,4096.000000,184294.912483,9229.923603,192426.443367,9869.042044,208689.505135,11171.638983
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d0.25,30,184116.311399,16028.607337,107.243769,149.466667,612215.466667,4096.000000,192130.615067,10017.618788,200144.918736,10669.248542,216173.526074,11995.970169
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d0.5,30,188524.995069,15998.835909,107.165464,149.300000,611532.800000,4096.000000,196524.413024,10280.689203,204523.830978,10925.912645,220522.666887,12240.055272
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d1.0,30,197850.886252,15992.379533,107.263312,149.100000,610713.600000,4096.000000,205847.076018,10865.513104,213843.265785,11520.963714,229835.645317,12852.008286
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d10.0,30,311436.616693,3322.907177,104.583974,31.733333,129979.733333,4096.000000,313098.070281,18478.403204,314759.523870,18606.278435,318082.431046,18871.397543
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d2.0,30,219066.823506,15950.865071,107.251585,148.733333,609211.733333,4096.000000,227042.256042,12393.869941,235017.688578,13055.681139,250968.553649,14394.763673
ambiguity,dominant_peer_ratio,0.7,engagement_g05_d5.0,30,281894.828350,15298.705814,107.403234,142.433333,583406.933333,4096.000000,289544.181257,17536.215411,297193.534164,18211.705921,312492.239978,19570.064276
ambiguity,dominant_peer_ratio,0.7,naive_target_aware,30,162636.689987,17457.236653,107.187556,162.866667,667101.866667,4096.000000,171365.308314,8177.565046,180093.926641,8885.971687,197551.163294,10347.566077
ambiguity,dominant_peer_ratio,0.7,nearest,30,300755.195849,1315.130190,99.477918,12.566667,51473.066667,4096.000000,301412.760944,22144.551393,302070.326039,22263.231136,303385.456229,22578.583332
ambiguity,dominant_peer_ratio,0.7,oracle_a0.5,30,30792.503090,53703.645796,38.560171,1394.133333,5710370.133333,4096.000000,57644.325988,3447.482571,84496.148885,5884.759195,138199.794681,10901.610566
