sweep,knob_name,knob_value,seed,policy_id,total_requests,migration_count,total_served_ms,total_migration_rtt_ms,mean_migration_rtt_ms,migration_bytes_total,mean_migration_bytes_per_migration,combined_ms_alpha0.5,combined_ms_alpha1,combined_ms_alpha2
ambiguity,dominant_peer_ratio,0.85,6,engagement_g00_d10.0,2952,55,310380.352601,5551.965515,100.944828,225280,4096.000000,313156.335359,315932.318116,321484.283631
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d0.0,2952,150,126705.815772,14712.095275,98.080635,614400,4096.000000,134061.863409,141417.911047,156130.006322
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d0.25,2952,150,142068.464232,14712.095275,98.080635,614400,4096.000000,149424.511870,156780.559507,171492.654782
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d0.5,2952,150,146247.755289,14712.095275,98.080635,614400,4096.000000,153603.802927,160959.850564,175671.945839
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d1.0,2952,150,159466.266584,14712.095275,98.080635,614400,4096.000000,166822.314222,174178.361859,188890.457134
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d2.0,2952,150,181849.382170,14712.095275,98.080635,614400,4096.000000,189205.429808,196561.477445,211273.572720
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d5.0,2952,147,254038.804343,14515.908893,98.747680,602112,4096.000000,261296.758790,268554.713236,283070.622129
ambiguity,dominant_peer_ratio,0.85,6,engagement_g05_d10.0,2952,49,305120.323934,4872.565854,99.440119,200704,4096.000000,307556.606861,309992.889788,314865.455642
ambiguity,dominant_peer_ratio,0.85,6,oracle_a1,2952,648,27838.211340,17211.457686,26.560891,2654208,4096.000000,36443.940183,45049.669026,62261.126712
ambiguity,dominant_peer_ratio,0.85,6,oracle_a0.5,2952,870,18816.617418,31218.649566,35.883505,3563520,4096.000000,34425.942201,50035.266984,81253.916550
ambiguity,dominant_peer_ratio,0.85,6,oracle_a2,2952,469,36764.438999,10913.332547,23.269366,1921024,4096.000000,42221.105272,47677.771546,58591.104093
ambiguity,dominant_peer_ratio,0.85,7,static,2971,0,335846.175897,0.000000,,0,,335846.175897,335846.175897,335846.175897
ambiguity,dominant_peer_ratio,0.85,7,nearest,2971,5,314233.479406,470.237830,94.047566,20480,4096.000000,314468.598321,314703.717236,315173.955066
ambiguity,dominant_peer_ratio,0.85,7,naive_target_aware,2971,150,129616.271594,16186.812653,107.912084,614400,4096.000000,137709.677920,145803.084247,161989.896900
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d0.0,2971,150,129616.271594,16186.812653,107.912084,614400,4096.000000,137709.677920,145803.084247,161989.896900
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d0.25,2971,150,150166.516353,16186.812653,107.912084,614400,4096.000000,158259.922679,166353.329006,182540.141659
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d0.5,2971,150,156532.492973,16186.812653,107.912084,614400,4096.000000,164625.899299,172719.305626,188906.118279
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d1.0,2971,150,170561.730580,16186.812653,107.912084,614400,4096.000000,178655.136906,186748.543233,202935.355886
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d2.0,2971,150,199202.830738,16186.812653,107.912084,614400,4096.000000,207296.237065,215389.643391,231576.456044
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d5.0,2971,148,280723.520430,16111.134233,108.859015,606208,4096.000000,288779.087547,296834.654663,312945.788896
ambiguity,dominant_peer_ratio,0.85,7,engagement_g00_d10.0,2971,55,351988.726929,6505.017511,118.273046,225280,4096.000000,355241.235685,358493.744440,364998.761951
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d0.0,2971,150,132739.658028,16186.812653,107.912084,614400,4096.000000,140833.064354,148926.470681,165113.283334
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d0.25,2971,150,150358.942441,16186.812653,107.912084,614400,4096.000000,158452.348767,166545.755094,182732.567747
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d0.5,2971,150,156693.665243,16186.812653,107.912084,614400,4096.000000,164787.071569,172880.477896,189067.290549
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d1.0,2971,150,170595.570393,16186.812653,107.912084,614400,4096.000000,178688.976719,186782.383046,202969.195699
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d2.0,2971,150,199202.830738,16186.812653,107.912084,614400,4096.000000,207296.237065,215389.643391,231576.456044
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d5.0,2971,146,280077.621650,15771.398849,108.023280,598016,4096.000000,287963.321075,295849.020499,311620.419348
ambiguity,dominant_peer_ratio,0.85,7,engagement_g05_d10.0,2971,51,343699.344252,5819.927042,114.116217,208896,4096.000000,346609.307773,349519.271294,355339.198336
ambiguity,dominant_peer_ratio,0.85,7,oracle_a1,2971,554,34207.807940,20222.861299,36.503360,2269184,4096.000000,44319.238589,54430.669239,74653.530538
ambiguity,dominant_peer_ratio,0.85,7,oracle_a0.5,2971,855,21261.001843,41205.795432,48.193913,3502080,4096.000000,41863.899559,62466.797275,103672.592707
ambiguity,dominant_peer_ratio,0.85,7,oracle_a2,2971,383,44730.100069,12278.500837,32.058749,1568768,4096.000000,50869.350488,57008.600906,69287.101743
ambiguity,dominant_peer_ratio,0.85,8,static,2983,0,277894.815949,0.000000,,0,,277894.815949,277894.815949,277894.815949
ambiguity,dominant_peer_ratio,0.85,8,nearest,2983,5,289273.291395,463.236040,92.647208,20480,4096.000000,289504.909415,289736.527435,290199.763475
ambiguity,dominant_peer_ratio,0.85,8,naive_target_aware,2983,153,115908.124705,14468.700512,94.566670,626688,4096.000000,123142.474961,130376.825217,144845.525729
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d0.0,2983,153,115908.124705,14468.700512,94.566670,626688,4096.000000,123142.474961,130376.825217,144845.525729
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d0.25,2983,150,133912.123982,14079.832376,93.865549,614400,4096.000000,140952.040170,147991.956358,162071.788734
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d0.5,2983,149,139870.897295,13885.179926,93.189127,610304,4096.000000,146813.487258,153756.077221,167641.257147
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d1.0,2983,149,149996.889581,13885.179926,93.189127,610304,4096.000000,156939.479544,163882.069507,177767.249433
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d2.0,2983,149,171902.497549,13885.179926,93.189127,610304,4096.000000,178845.087512,185787.677475,199672.857401
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d5.0,2983,149,242611.028159,13885.179926,93.189127,610304,4096.000000,249553.618122,256496.208085,270381.388011
ambiguity,dominant_peer_ratio,0.85,8,engagement_g00_d10.0,2983,61,293371.676466,5845.689387,95.830974,249856,4096.000000,296294.521160,299217.365853,305063.055240
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d0.0,2983,152,119847.258666,14331.600728,94.286847,622592,4096.000000,127013.059030,134178.859394,148510.460122
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d0.25,2983,149,133781.557112,13885.179926,93.189127,610304,4096.000000,140724.147075,147666.737038,161551.916964
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d0.5,2983,149,140053.651900,13885.179926,93.189127,610304,4096.000000,146996.241863,153938.831826,167824.011752
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d1.0,2983,149,150020.064823,13885.179926,93.189127,610304,4096.000000,156962.654786,163905.244749,177790.424675
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d2.0,2983,149,171925.672791,13885.179926,93.189127,610304,4096.000000,178868.262754,185810.852717,199696.032643
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d5.0,2983,148,242810.812986,13869.932954,93.715763,606208,4096.000000,249745.779463,256680.745940,270550.678894
ambiguity,dominant_peer_ratio,0.85,8,engagement_g05_d10.0,2983,47,297676.777349,4536.934945,96.530531,192512,4096.000000,299945.244821,302213.712294,306750.647239
ambiguity,dominant_peer_ratio,0.85,8,oracle_a1,2983,557,29308.040864,17103.522122,30.706503,2281472,4096.000000,37859.801925,46411.562986,63515.085108
ambiguity,dominant_peer_ratio,0.85,8,oracle_a0.5,2983,813,19852.780390,31670.193567,38.954728,3330048,4096.000000,35687.877174,51522.973957,83193.167524
ambiguity,dominant_peer_ratio,0.85,8,oracle_a2,2983,376,38812.575143,10470.651060,27.847476,1540096,4096.000000,44047.900673,49283.226203,59753.877263
ambiguity,dominant_peer_ratio,0.85,9,static,2932,0,277477.300994,0.000000,,0,,277477.300994,277477.300994,277477.300994
ambiguity,dominant_peer_ratio,0.85,9,nearest,2932,5,316270.791448,440.799752,88.159950,20480,4096.000000,316491.191324,316711.591200,317152.390952
ambiguity,dominant_peer_ratio,0.85,9,naive_target_aware,2932,150,121756.201373,14441.497423,96.276649,614400,4096.000000,128976.950084,136197.698796,150639.196219
ambiguity,dominant_peer_ratio,0.85,9,engagement_g00_d0.0,2932,150,121756.201373,14441.497423,96.276649,614400,4096.000000,128976.950084,136197.698796,150639.196219
ambiguity,dominant_peer_ratio,0.85,9,engagement_g00_d0.25,2932,150,138881.982890,14441.497423,96.276649,614400,4096.000000,146102.731601,153323.480313,167764.977736
