dominant_peer_ratio,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
0.85,9,engagement_g00_d0.5,2932,1508,0.514325,98.202388,47.694475,49.694475,49.694475,0.000000,0.000000
0.85,9,engagement_g00_d1.0,2932,1391,0.474420,98.618812,51.832057,53.832057,53.832057,0.000000,0.000000
0.85,9,engagement_g00_d2.0,2932,1147,0.391201,97.873296,59.585209,61.585209,61.585209,0.000000,0.000000
0.85,9,engagement_g00_d5.0,2932,416,0.141883,96.646253,82.933824,84.933824,84.933824,0.000000,0.000000
0.85,9,engagement_g00_d10.0,2932,35,0.011937,98.222040,97.049539,99.049539,99.049539,0.000000,0.000000
0.85,9,engagement_g05_d0.0,2932,1729,0.589700,98.849881,40.558120,42.558120,42.558120,0.000000,0.000000
0.85,9,engagement_g05_d0.25,2932,1571,0.535812,98.336614,45.646703,47.646703,47.646703,0.000000,0.000000
0.85,9,engagement_g05_d0.5,2932,1502,0.512278,98.311593,47.948696,49.948696,49.948696,0.000000,0.000000
0.85,9,engagement_g05_d1.0,2932,1387,0.473056,98.653330,51.984787,53.984787,53.984787,0.000000,0.000000
0.85,9,engagement_g05_d2.0,2932,1146,0.390859,97.883001,59.624502,61.624502,61.624502,0.000000,0.000000
0.85,9,engagement_g05_d5.0,2932,416,0.141883,97.160387,83.375012,85.375012,85.375012,0.000000,0.000000
0.85,9,engagement_g05_d10.0,2932,31,0.010573,98.111166,97.073838,99.073838,99.073838,0.000000,0.000000
0.85,9,oracle_a1,2932,2379,0.811392,45.018247,8.490822,10.490822,10.490822,0.000000,0.000000
0.85,10,static,3006,109,0.036261,107.680504,103.775921,105.775921,105.775921,0.000000,0.000000
0.85,10,nearest,3006,168,0.055888,89.035155,84.059138,86.059138,86.059138,0.000000,0.000000
0.85,10,naive_target_aware,3006,1858,0.618097,105.249458,40.195069,42.195069,42.195069,0.000000,0.000000
0.85,10,engagement_g00_d0.0,3006,1858,0.618097,105.249458,40.195069,42.195069,42.195069,0.000000,0.000000
0.85,10,engagement_g00_d0.25,3006,1672,0.556221,105.463064,46.802305,48.802305,48.802305,0.000000,0.000000
0.85,10,engagement_g00_d0.5,3006,1620,0.538922,105.403575,48.599253,50.599253,50.599253,0.000000,0.000000
0.85,10,engagement_g00_d1.0,3006,1482,0.493014,105.583540,53.529379,55.529379,55.529379,0.000000,0.000000
0.85,10,engagement_g00_d2.0,3006,1239,0.412176,106.291859,62.480943,64.480943,64.480943,0.000000,0.000000
0.85,10,engagement_g00_d5.0,3006,509,0.169328,106.574266,88.528258,90.528258,90.528258,0.000000,0.000000
0.85,10,engagement_g00_d10.0,3006,25,0.008317,101.203180,100.361503,102.361503,102.361503,0.000000,0.000000
0.85,10,engagement_g05_d0.0,3006,1823,0.606454,105.392168,41.476691,43.476691,43.476691,0.000000,0.000000
0.85,10,engagement_g05_d0.25,3006,1668,0.554890,105.266643,46.855212,48.855212,48.855212,0.000000,0.000000
0.85,10,engagement_g05_d0.5,3006,1616,0.537591,105.214673,48.652161,50.652161,50.652161,0.000000,0.000000
0.85,10,engagement_g05_d1.0,3006,1481,0.492681,105.543612,53.544248,55.544248,55.544248,0.000000,0.000000
0.85,10,engagement_g05_d2.0,3006,1239,0.412176,106.291859,62.480943,64.480943,64.480943,0.000000,0.000000
0.85,10,engagement_g05_d5.0,3006,509,0.169328,106.574266,88.528258,90.528258,90.528258,0.000000,0.000000
0.85,10,engagement_g05_d10.0,3006,26,0.008649,104.365872,103.463173,105.463173,105.463173,0.000000,0.000000
0.85,10,oracle_a1,3006,2468,0.821025,46.310110,8.288370,10.288370,10.288370,0.000000,0.000000
0.85,11,static,3002,142,0.047302,106.111765,101.092487,103.092487,103.092487,0.000000,0.000000
0.85,11,nearest,3002,159,0.052965,105.289410,99.712789,101.712789,101.712789,0.000000,0.000000
0.85,11,naive_target_aware,3002,1827,0.608594,109.228931,42.752829,44.752829,44.752829,0.000000,0.000000
0.85,11,engagement_g00_d0.0,3002,1827,0.608594,109.228931,42.752829,44.752829,44.752829,0.000000,0.000000
