dominant_peer_ratio,seed,total_requests,oracle_mean_latency_ms,online_mean_latency_ms,agree_oracle_demand_count,agree_oracle_demand_rate,agree_oracle_median_count,agree_oracle_median_rate,agree_demand_median_count,agree_demand_median_rate,oracle_self_service_count,oracle_self_service_rate,total_latency_advantage_ms,self_service_advantage_ms,remote_advantage_ms,self_service_advantage_fraction
0.5,16,3097,20.517080,65.421372,1271,0.410397,1413,0.456248,1362,0.439780,1442,0.465612,139068.590539,52991.052123,86077.538416,0.381043
0.5,17,2945,21.987728,68.630646,1099,0.373175,1234,0.419015,1128,0.383022,1313,0.445840,137363.392481,52085.979839,85277.412642,0.379184
0.5,18,3040,20.401259,71.249312,1100,0.361842,1191,0.391776,1243,0.408882,1303,0.428618,154578.080672,56190.806543,98387.274129,0.363511
0.5,19,2979,20.737612,73.030113,1037,0.348103,1107,0.371601,1035,0.347432,1231,0.413226,155779.361302,49631.507288,106147.854014,0.318601
0.5,20,3045,23.197817,71.184605,1180,0.387521,1222,0.401314,1163,0.381938,1424,0.467652,146119.770087,57658.803270,88460.966817,0.394600
0.5,21,3058,22.878854,72.189307,1223,0.399935,1306,0.427077,1294,0.423152,1410,0.461086,150791.367386,55220.821242,95570.546144,0.366207
0.5,22,3009,21.393348,72.436139,1057,0.351279,1124,0.373546,1090,0.362247,1270,0.422067,153587.756792,51334.417805,102253.338987,0.334235
0.5,23,3060,21.820376,67.956633,1183,0.386601,1277,0.417320,1057,0.345425,1392,0.454902,141176.944260,48507.976715,92668.967545,0.343597
0.5,24,2894,23.897013,69.765634,1199,0.414305,1258,0.434692,1305,0.450933,1376,0.475466,132743.789258,53196.404150,79547.385108,0.400745
0.5,25,2903,22.082568,70.633657,1067,0.367551,1150,0.396142,1038,0.357561,1314,0.452635,140943.811110,52860.067594,88083.743516,0.375044
0.5,26,3057,23.034061,74.269239,1033,0.337913,1136,0.371606,1043,0.341184,1237,0.404645,156625.938132,50821.822562,105804.115570,0.324479
0.5,27,2968,23.191439,72.320962,1053,0.354784,1098,0.369946,1067,0.359501,1318,0.444070,145816.423817,55783.349088,90033.074729,0.382559
0.5,28,3014,20.863215,71.484199,1021,0.338752,1195,0.396483,938,0.311214,1279,0.424353,152571.645551,54904.717877,97666.927674,0.359862
