dominant_peer_ratio,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
0.7,naive_target_aware,3002.400000,53.895557,1517.200000,44.933975,0.505251,0.007697,105.489323,5.383465,52.190873,2.767304,54.190873,2.767304,54.190873,2.767304,0.000000,0.000000,0.000000,0.000000
0.7,nearest,3002.400000,53.895557,155.066667,21.641170,0.051621,0.007039,103.524461,7.575132,98.170867,7.089547,100.170867,7.089547,100.170867,7.089547,0.000000,0.000000,0.000000,0.000000
0.7,oracle_a1,3002.400000,53.895557,1919.800000,49.579890,0.639439,0.012743,39.386416,4.065701,14.163937,1.123300,16.163937,1.123300,16.163937,1.123300,0.000000,0.000000,0.000000,0.000000
0.7,static,3002.400000,53.895557,152.200000,22.505785,0.050650,0.007129,105.220961,6.615885,99.902035,6.483291,101.902035,6.483291,101.902035,6.483291,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d0.0,3002.400000,53.895557,1842.266667,50.429147,0.613510,0.007044,106.266886,6.727268,41.071775,2.709175,43.071775,2.709175,43.071775,2.709175,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d0.25,3002.400000,53.895557,1650.733333,48.557775,0.549707,0.007358,106.313110,7.130269,47.875039,3.337587,49.875039,3.337587,49.875039,3.337587,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d0.5,3002.400000,53.895557,1587.600000,49.092875,0.528675,0.008159,106.237208,7.230854,50.074064,3.538124,52.074064,3.538124,52.074064,3.538124,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d1.0,3002.400000,53.895557,1463.566667,43.831718,0.487390,0.007814,106.297804,7.320094,54.489911,3.844078,56.489911,3.844078,56.489911,3.844078,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d10.0,3002.400000,53.895557,30.933333,13.549229,0.010276,0.004383,104.875308,7.390627,103.804722,7.432059,105.804722,7.432059,105.804722,7.432059,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d2.0,3002.400000,53.895557,1210.400000,39.123677,0.403096,0.008763,106.421232,7.683540,63.517245,4.587834,65.517245,4.587834,65.517245,4.587834,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g00_d5.0,3002.400000,53.895557,477.533333,31.086901,0.158967,0.008492,106.594395,8.196252,89.645118,6.907732,91.645118,6.907732,91.645118,6.907732,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g05_d0.0,3002.400000,53.895557,1810.066667,52.364066,0.602776,0.008142,106.290998,6.788093,42.218177,2.777807,44.218177,2.777807,44.218177,2.777807,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g05_d0.25,3002.400000,53.895557,1646.300000,48.839745,0.548229,0.007503,106.316596,7.210699,48.032588,3.370654,50.032588,3.370654,50.032588,3.370654,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g05_d0.5,3002.400000,53.895557,1584.266667,49.200458,0.527565,0.008258,106.265428,7.301033,50.204531,3.570186,52.204531,3.570186,52.204531,3.570186,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g05_d1.0,3002.400000,53.895557,1461.600000,44.132715,0.486733,0.007888,106.285999,7.363208,54.552830,3.860302,56.552830,3.860302,56.552830,3.860302,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g05_d10.0,3002.400000,53.895557,29.966667,13.158145,0.009958,0.004258,104.317316,6.701294,103.285737,6.761179,105.285737,6.761179,105.285737,6.761179,0.000000,0.000000,0.000000,0.000000
0.85,engagement_g05_d2.0,3002.400000,53.895557,1209.966667,39.139435,0.402952,0.008803,106.399594,7.724615,63.518913,4.605324,65.518913,4.605324,65.518913,4.605324,0.000000,0.000000,0.000000,0.000000
