dominant_peer_ratio,policy_id,selector,theta_d,window_size,n_seeds,combined_s_alpha1_mean,combined_s_alpha1_std,mean_latency_ms_mean,migration_count_mean
0.3,demand_argmax_w20_d5,demand_argmax,5.0,20,30,316.665009,14.905291,101.336720,116.200000
0.3,demand_argmax_w20_d10,demand_argmax,10.0,20,30,309.041563,17.394866,101.311218,47.166667
0.3,demand_argmax_w30_d0,demand_argmax,0.0,30,30,311.708901,13.145747,95.633431,231.366667
0.3,demand_argmax_w30_d0.25,demand_argmax,0.25,30,30,309.145753,13.211165,96.859450,173.200000
0.3,demand_argmax_w30_d0.5,demand_argmax,0.5,30,30,309.667037,13.270800,97.314081,164.900000
0.3,demand_argmax_w30_d1,demand_argmax,1.0,30,30,311.109062,13.536698,98.211183,152.933333
0.3,demand_argmax_w30_d2,demand_argmax,2.0,30,30,314.019766,13.929721,99.766188,135.733333
0.3,demand_argmax_w30_d5,demand_argmax,5.0,30,30,317.810849,14.750734,102.016709,108.866667
0.3,demand_argmax_w30_d10,demand_argmax,10.0,30,30,311.848908,15.981622,101.728931,61.766667
0.3,demand_argmax_w100_d0,demand_argmax,0.0,100,30,315.251353,14.257827,99.947097,146.166667
0.3,demand_argmax_w100_d0.25,demand_argmax,0.25,100,30,312.675260,14.103600,100.301680,111.600000
0.3,demand_argmax_w100_d0.5,demand_argmax,0.5,100,30,312.465302,14.073685,100.440732,105.066667
0.3,demand_argmax_w100_d1,demand_argmax,1.0,100,30,312.093151,14.119118,100.644718,95.166667
0.3,demand_argmax_w100_d2,demand_argmax,2.0,100,30,312.494956,14.674514,101.263883,81.166667
0.3,demand_argmax_w100_d5,demand_argmax,5.0,100,30,311.756948,14.480595,101.793750,59.333333
0.3,demand_argmax_w100_d10,demand_argmax,10.0,100,30,310.101352,16.036685,101.815563,42.866667
0.3,rtt_weighted_w5_d0,rtt_weighted,0.0,5,30,351.156497,23.396053,82.766166,1424.733333
0.3,rtt_weighted_w5_d0.25,rtt_weighted,0.25,5,30,288.265923,17.870684,83.134005,502.166667
0.3,rtt_weighted_w5_d0.5,rtt_weighted,0.5,5,30,282.037444,16.988871,83.624812,396.800000
0.3,rtt_weighted_w5_d1,rtt_weighted,1.0,5,30,275.077660,16.090544,84.980237,250.733333
0.3,rtt_weighted_w5_d2,rtt_weighted,2.0,5,30,274.034038,16.689690,88.318956,104.900000
0.3,rtt_weighted_w5_d5,rtt_weighted,5.0,5,30,283.389103,25.193133,94.154775,8.100000
0.3,rtt_weighted_w5_d10,rtt_weighted,10.0,5,30,301.846722,19.459611,100.529167,0.366667
0.3,rtt_weighted_w10_d0,rtt_weighted,0.0,10,30,307.380980,22.617318,80.159095,950.700000
0.3,rtt_weighted_w10_d0.25,rtt_weighted,0.25,10,30,273.607712,18.133044,81.339553,404.533333
0.3,rtt_weighted_w10_d0.5,rtt_weighted,0.5,10,30,270.720341,17.558597,81.679916,347.466667
0.3,rtt_weighted_w10_d1,rtt_weighted,1.0,10,30,268.990913,17.619108,82.935108,263.666667
0.3,rtt_weighted_w10_d2,rtt_weighted,2.0,10,30,267.884281,17.700351,85.084777,155.633333
0.3,rtt_weighted_w10_d5,rtt_weighted,5.0,10,30,266.462576,19.860588,87.807683,34.300000
0.3,rtt_weighted_w10_d10,rtt_weighted,10.0,10,30,283.175736,24.619069,94.229339,3.466667
0.3,rtt_weighted_w20_d0,rtt_weighted,0.0,20,30,281.414658,21.994204,79.687842,608.900000
0.3,rtt_weighted_w20_d0.25,rtt_weighted,0.25,20,30,263.247982,19.641336,80.979033,282.766667
0.3,rtt_weighted_w20_d0.5,rtt_weighted,0.5,20,30,262.127090,19.624756,81.362317,249.500000
0.3,rtt_weighted_w20_d1,rtt_weighted,1.0,20,30,261.723770,19.803710,82.268933,202.766667
0.3,rtt_weighted_w20_d2,rtt_weighted,2.0,20,30,262.735172,19.535840,83.732062,146.533333
0.3,rtt_weighted_w20_d5,rtt_weighted,5.0,20,30,263.979771,21.390877,86.201647,64.200000
0.3,rtt_weighted_w20_d10,rtt_weighted,10.0,20,30,262.711359,23.630632,87.013048,18.100000
0.3,rtt_weighted_w30_d0,rtt_weighted,0.0,30,30,272.140326,25.124872,79.962899,462.333333
0.3,rtt_weighted_w30_d0.25,rtt_weighted,0.25,30,30,258.733337,21.539867,80.981419,218.766667
0.3,rtt_weighted_w30_d0.5,rtt_weighted,0.5,30,30,257.910994,21.340685,81.267534,194.100000
0.3,rtt_weighted_w30_d1,rtt_weighted,1.0,30,30,258.001786,21.426364,82.026623,160.700000
0.3,rtt_weighted_w30_d2,rtt_weighted,2.0,30,30,259.660541,21.427649,83.427526,121.133333
0.3,rtt_weighted_w30_d5,rtt_weighted,5.0,30,30,262.108775,23.507104,85.472188,68.100000
0.3,rtt_weighted_w30_d10,rtt_weighted,10.0,30,30,260.870215,23.110446,86.117822,29.366667
0.3,rtt_weighted_w100_d0,rtt_weighted,0.0,100,30,257.641465,26.105054,80.814983,208.733333
0.3,rtt_weighted_w100_d0.25,rtt_weighted,0.25,100,30,251.633034,23.949061,81.367954,100.000000
0.3,rtt_weighted_w100_d0.5,rtt_weighted,0.5,100,30,251.747626,24.049917,81.620074,90.433333
0.3,rtt_weighted_w100_d1,rtt_weighted,1.0,100,30,252.101096,24.228414,82.058103,78.000000
0.3,rtt_weighted_w100_d2,rtt_weighted,2.0,100,30,253.168600,24.540052,82.752746,63.100000
0.3,rtt_weighted_w100_d5,rtt_weighted,5.0,100,30,255.138062,24.079051,83.907924,43.133333
0.3,rtt_weighted_w100_d10,rtt_weighted,10.0,100,30,255.974553,23.682113,84.559415,28.500000
0.25,static,,,,30,304.957054,19.028307,101.590844,0.000000
0.25,nearest,,,,30,302.965755,21.739671,100.466634,12.566667
0.25,demand_argmax_w5_d0,demand_argmax,0.0,5,30,391.703140,16.849872,94.393558,1041.533333
0.25,demand_argmax_w5_d0.25,demand_argmax,0.25,5,30,338.800485,12.655404,94.472515,531.800000
0.25,demand_argmax_w5_d0.5,demand_argmax,0.5,5,30,330.525624,11.412188,94.709748,447.366667
0.25,demand_argmax_w5_d1,demand_argmax,1.0,5,30,319.753875,11.640922,95.618216,315.333333
0.25,demand_argmax_w5_d2,demand_argmax,2.0,5,30,310.950949,13.924171,98.199076,153.933333
0.25,demand_argmax_w5_d5,demand_argmax,5.0,5,30,304.591555,13.376766,100.848640,18.333333
0.25,demand_argmax_w5_d10,demand_argmax,10.0,5,30,305.432119,18.251866,101.726265,0.600000
0.25,demand_argmax_w10_d0,demand_argmax,0.0,10,30,346.537035,14.014085,92.735562,657.366667
0.25,demand_argmax_w10_d0.25,demand_argmax,0.25,10,30,319.279970,13.247358,93.503967,370.866667
0.25,demand_argmax_w10_d0.5,demand_argmax,0.5,10,30,315.718032,12.821793,93.791378,328.733333
0.25,demand_argmax_w10_d1,demand_argmax,1.0,10,30,311.875080,12.456843,94.661351,266.466667
0.25,demand_argmax_w10_d2,demand_argmax,2.0,10,30,310.739114,12.096093,97.049215,186.133333
0.25,demand_argmax_w10_d5,demand_argmax,5.0,10,30,310.529885,14.223344,100.925976,71.766667
0.25,demand_argmax_w10_d10,demand_argmax,10.0,10,30,305.140165,15.159483,101.323356,9.166667
0.25,demand_argmax_w20_d0,demand_argmax,0.0,20,30,321.388433,12.864742,94.145795,369.800000
0.25,demand_argmax_w20_d0.25,demand_argmax,0.25,20,30,312.497795,12.041189,95.442153,247.500000
0.25,demand_argmax_w20_d0.5,demand_argmax,0.5,20,30,311.838505,11.771007,95.887407,227.666667
0.25,demand_argmax_w20_d1,demand_argmax,1.0,20,30,311.208154,11.554529,96.652583,200.166667
0.25,demand_argmax_w20_d2,demand_argmax,2.0,20,30,312.829183,11.924364,98.472494,163.966667
0.25,demand_argmax_w20_d5,demand_argmax,5.0,20,30,315.464996,14.070270,101.306110,107.100000
0.25,demand_argmax_w20_d10,demand_argmax,10.0,20,30,308.358366,15.388871,101.419592,38.000000
0.25,demand_argmax_w30_d0,demand_argmax,0.0,30,30,319.347782,13.216700,96.726096,276.966667
0.25,demand_argmax_w30_d0.25,demand_argmax,0.25,30,30,314.226575,12.621236,97.833715,195.433333
0.25,demand_argmax_w30_d0.5,demand_argmax,0.5,30,30,314.164223,12.105359,98.238998,182.633333
0.25,demand_argmax_w30_d1,demand_argmax,1.0,30,30,314.189743,12.245297,98.909337,162.533333
0.25,demand_argmax_w30_d2,demand_argmax,2.0,30,30,315.504440,12.682244,100.121866,139.533333
0.25,demand_argmax_w30_d5,demand_argmax,5.0,30,30,316.814225,13.876893,101.928883,101.133333
0.25,demand_argmax_w30_d10,demand_argmax,10.0,30,30,311.773668,13.275122,101.924710,55.666667
0.25,demand_argmax_w100_d0,demand_argmax,0.0,100,30,317.462895,13.153447,99.967269,167.500000
0.25,demand_argmax_w100_d0.25,demand_argmax,0.25,100,30,313.798315,12.931068,100.292448,122.533333
0.25,demand_argmax_w100_d0.5,demand_argmax,0.5,100,30,313.002205,12.380002,100.304697,114.100000
0.25,demand_argmax_w100_d1,demand_argmax,1.0,100,30,312.044579,12.090921,100.455982,101.233333
0.25,demand_argmax_w100_d2,demand_argmax,2.0,100,30,311.767697,12.891908,100.919901,84.133333
0.25,demand_argmax_w100_d5,demand_argmax,5.0,100,30,310.394683,13.208088,101.360848,58.833333
0.25,demand_argmax_w100_d10,demand_argmax,10.0,100,30,308.525373,13.309194,101.356143,40.900000
0.25,rtt_weighted_w5_d0,rtt_weighted,0.0,5,30,365.773975,23.499697,85.874066,1473.366667
0.25,rtt_weighted_w5_d0.25,rtt_weighted,0.25,5,30,296.987470,18.706719,85.625421,502.800000
0.25,rtt_weighted_w5_d0.5,rtt_weighted,0.5,5,30,289.666952,16.998719,85.884538,395.600000
0.25,rtt_weighted_w5_d1,rtt_weighted,1.0,5,30,280.744698,16.779583,86.869820,243.833333
0.25,rtt_weighted_w5_d2,rtt_weighted,2.0,5,30,274.667606,18.473840,88.747057,96.433333
0.25,rtt_weighted_w5_d5,rtt_weighted,5.0,5,30,285.486977,20.197968,94.896132,6.533333
0.25,rtt_weighted_w5_d10,rtt_weighted,10.0,5,30,303.334961,17.088842,101.040363,0.200000
0.25,rtt_weighted_w10_d0,rtt_weighted,0.0,10,30,318.870223,23.033739,82.747902,982.833333
0.25,rtt_weighted_w10_d0.25,rtt_weighted,0.25,10,30,279.999534,18.884640,83.145935,407.733333
0.25,rtt_weighted_w10_d0.5,rtt_weighted,0.5,10,30,276.895092,19.146819,83.457598,346.266667
0.25,rtt_weighted_w10_d1,rtt_weighted,1.0,10,30,272.986523,18.818116,84.216088,259.333333
0.25,rtt_weighted_w10_d2,rtt_weighted,2.0,10,30,269.217267,18.315543,85.498680,153.600000
0.25,rtt_weighted_w10_d5,rtt_weighted,5.0,10,30,264.734920,21.537289,87.233212,34.166667
0.25,rtt_weighted_w10_d10,rtt_weighted,10.0,10,30,283.973247,23.937730,94.480811,3.333333
0.25,rtt_weighted_w20_d0,rtt_weighted,0.0,20,30,288.297410,23.025874,81.425907,620.266667
0.25,rtt_weighted_w20_d0.25,rtt_weighted,0.25,20,30,266.787634,19.972913,82.190586,277.900000
0.25,rtt_weighted_w20_d0.5,rtt_weighted,0.5,20,30,265.407906,19.780490,82.446589,245.333333
0.25,rtt_weighted_w20_d1,rtt_weighted,1.0,20,30,263.724051,19.882365,83.016404,197.233333
0.25,rtt_weighted_w20_d2,rtt_weighted,2.0,20,30,263.829334,19.917665,84.215215,144.700000
0.25,rtt_weighted_w20_d5,rtt_weighted,5.0,20,30,262.684106,21.448120,85.852787,60.900000
