comparison_type,dominant_peer_ratio,policy_a,policy_b,n_seeds,mean_diff_combined_s,bootstrap_ci95_low,bootstrap_ci95_high,verdict
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w30_d10,nearest,30,-23.091186,-32.365718,-14.716703,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d0,nearest,30,-55.513195,-64.962788,-46.250104,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d0.25,nearest,30,-53.912163,-63.433502,-44.514013,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d0.5,nearest,30,-52.366522,-61.893635,-42.954880,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d1,nearest,30,-48.935100,-58.450485,-39.449228,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d2,nearest,30,-42.456225,-52.353504,-32.684696,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d5,nearest,30,-30.736088,-40.457540,-20.880414,a_cheaper
rtt_weighted_vs_best_baseline,0.6,rtt_weighted_w100_d10,nearest,30,-26.886757,-36.545117,-16.909922,a_cheaper
best_rtt_weighted_vs_best_demand_argmax,0.6,rtt_weighted_w10_d0.25,demand_argmax_w10_d0,30,3.506825,1.298913,5.564590,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d0,nearest,30,-83.532998,-90.616349,-76.438239,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d0.25,nearest,30,-91.612031,-98.756113,-84.512221,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d0.5,nearest,30,-90.216697,-97.449252,-82.963435,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d1,nearest,30,-84.656195,-92.005250,-77.166745,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d2,nearest,30,-65.658343,-73.004785,-58.205692,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d5,nearest,30,-8.572702,-16.744739,-0.411988,a_cheaper
