phase_duration,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
5.0,1,engagement_g00_d10.0,3072,148,0.048177,97.548618,92.849010,94.849010,94.849010,0.000000,0.000000
5.0,1,engagement_g05_d0.0,3072,1137,0.370117,91.608655,57.702717,59.702717,59.702717,0.000000,0.000000
5.0,1,engagement_g05_d0.25,3072,849,0.276367,91.534854,66.237624,68.237624,68.237624,0.000000,0.000000
5.0,1,engagement_g05_d0.5,3072,746,0.242839,91.902141,69.584759,71.584759,71.584759,0.000000,0.000000
5.0,1,engagement_g05_d1.0,3072,550,0.179036,92.033121,75.555837,77.555837,77.555837,0.000000,0.000000
5.0,1,engagement_g05_d2.0,3072,251,0.081706,94.086566,86.399154,88.399154,88.399154,0.000000,0.000000
5.0,1,engagement_g05_d5.0,3072,29,0.009440,99.047873,98.112850,100.112850,100.112850,0.000000,0.000000
5.0,1,engagement_g05_d10.0,3072,148,0.048177,97.548618,92.849010,94.849010,94.849010,0.000000,0.000000
5.0,1,oracle_a1,3072,2386,0.776693,32.660234,7.293268,9.293268,9.293268,0.000000,0.000000
5.0,2,static,3076,139,0.045189,101.845100,97.242867,99.242867,99.242867,0.000000,0.000000
5.0,2,nearest,3076,161,0.052341,94.898077,89.931045,91.931045,91.931045,0.000000,0.000000
5.0,2,naive_target_aware,3076,1208,0.392718,114.051006,69.261144,71.261144,71.261144,0.000000,0.000000
5.0,2,engagement_g00_d0.0,3076,1208,0.392718,114.051006,69.261144,71.261144,71.261144,0.000000,0.000000
5.0,2,engagement_g00_d0.25,3076,852,0.276983,114.643539,82.889217,84.889217,84.889217,0.000000,0.000000
5.0,2,engagement_g00_d0.5,3076,746,0.242523,114.372101,86.634264,88.634264,88.634264,0.000000,0.000000
5.0,2,engagement_g00_d1.0,3076,530,0.172302,115.588840,95.672687,97.672687,97.672687,0.000000,0.000000
5.0,2,engagement_g00_d2.0,3076,189,0.061443,117.309412,110.101519,112.101519,112.101519,0.000000,0.000000
5.0,2,engagement_g00_d5.0,3076,25,0.008127,112.946442,112.028477,114.028477,114.028477,0.000000,0.000000
5.0,2,engagement_g00_d10.0,3076,135,0.043888,103.295660,98.762203,100.762203,100.762203,0.000000,0.000000
5.0,2,engagement_g05_d0.0,3076,1154,0.375163,114.303409,71.421051,73.421051,73.421051,0.000000,0.000000
5.0,2,engagement_g05_d0.25,3076,846,0.275033,114.947595,83.333269,85.333269,85.333269,0.000000,0.000000
5.0,2,engagement_g05_d0.5,3076,742,0.241222,114.755875,87.074191,89.074191,89.074191,0.000000,0.000000
5.0,2,engagement_g05_d1.0,3076,530,0.172302,115.931822,95.956573,97.956573,97.956573,0.000000,0.000000
5.0,2,engagement_g05_d2.0,3076,190,0.061769,117.112872,109.878982,111.878982,111.878982,0.000000,0.000000
5.0,2,engagement_g05_d5.0,3076,25,0.008127,112.012265,111.101892,113.101892,113.101892,0.000000,0.000000
5.0,2,engagement_g05_d10.0,3076,130,0.042263,102.360578,98.034546,100.034546,100.034546,0.000000,0.000000
5.0,2,oracle_a1,3076,2369,0.770156,34.148108,7.848736,9.848736,9.848736,0.000000,0.000000
5.0,3,static,2993,159,0.053124,101.733080,96.328617,98.328617,98.328617,0.000000,0.000000
5.0,3,nearest,2993,130,0.043435,96.370264,92.184453,94.184453,94.184453,0.000000,0.000000
5.0,3,naive_target_aware,2993,1132,0.378216,106.032673,65.929437,67.929437,67.929437,0.000000,0.000000
5.0,3,engagement_g00_d0.0,2993,1132,0.378216,106.032673,65.929437,67.929437,67.929437,0.000000,0.000000
5.0,3,engagement_g00_d0.25,2993,792,0.264617,106.311451,78.179587,80.179587,80.179587,0.000000,0.000000
5.0,3,engagement_g00_d0.5,2993,681,0.227531,106.904606,82.580504,84.580504,84.580504,0.000000,0.000000
5.0,3,engagement_g00_d1.0,2993,499,0.166722,106.902598,89.079545,91.079545,91.079545,0.000000,0.000000
5.0,3,engagement_g00_d2.0,2993,201,0.067157,107.184722,99.986550,101.986550,101.986550,0.000000,0.000000
5.0,3,engagement_g00_d5.0,2993,23,0.007685,107.733214,106.905328,108.905328,108.905328,0.000000,0.000000
5.0,3,engagement_g00_d10.0,2993,136,0.045439,101.171725,96.574547,98.574547,98.574547,0.000000,0.000000
5.0,3,engagement_g05_d0.0,2993,1074,0.358837,106.681483,68.400189,70.400189,70.400189,0.000000,0.000000
5.0,3,engagement_g05_d0.25,2993,787,0.262947,106.822613,78.733941,80.733941,80.733941,0.000000,0.000000
5.0,3,engagement_g05_d0.5,2993,678,0.226529,107.523270,83.166178,85.166178,85.166178,0.000000,0.000000
5.0,3,engagement_g05_d1.0,2993,498,0.166388,107.653437,89.741171,91.741171,91.741171,0.000000,0.000000
5.0,3,engagement_g05_d2.0,2993,201,0.067157,107.734379,100.499293,102.499293,102.499293,0.000000,0.000000
5.0,3,engagement_g05_d5.0,2993,25,0.008353,108.447002,107.541164,109.541164,109.541164,0.000000,0.000000
5.0,3,engagement_g05_d10.0,2993,159,0.053124,101.733080,96.328617,98.328617,98.328617,0.000000,0.000000
5.0,3,oracle_a1,2993,2354,0.786502,37.555538,8.018038,10.018038,10.018038,0.000000,0.000000
