phase_duration,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
10.0,4,engagement_g00_d10.0,2947,115.528928,195.798390,57,284,1.927384
10.0,4,engagement_g05_d0.0,2947,46.141335,171.177543,152,218,1.479471
10.0,4,engagement_g05_d0.25,2947,52.803184,178.796905,150,218,1.479471
10.0,4,engagement_g05_d0.5,2947,54.809386,179.622313,150,221,1.499830
10.0,4,engagement_g05_d1.0,2947,58.551825,183.504948,150,218,1.479471
10.0,4,engagement_g05_d2.0,2947,67.159894,191.389529,150,226,1.533763
10.0,4,engagement_g05_d5.0,2947,93.822750,193.368367,147,214,1.452324
10.0,4,engagement_g05_d10.0,2947,112.898901,195.798390,49,360,2.443163
10.0,4,oracle_a1,2947,9.265601,43.394165,666,235,1.594842
10.0,5,static,2961,100.259387,188.688177,0,1225,8.274232
10.0,5,nearest,2961,100.010200,185.423886,6,626,4.228301
10.0,5,naive_target_aware,2961,47.190579,180.936103,154,190,1.283350
10.0,5,engagement_g00_d0.0,2961,47.190579,180.936103,154,190,1.283350
10.0,5,engagement_g00_d0.25,2961,54.351151,180.936103,151,191,1.290105
10.0,5,engagement_g00_d0.5,2961,57.057268,180.936103,151,192,1.296859
10.0,5,engagement_g00_d1.0,2961,61.624566,187.323161,150,185,1.249578
10.0,5,engagement_g00_d2.0,2961,70.667656,196.075920,149,187,1.263087
10.0,5,engagement_g00_d5.0,2961,97.996778,196.075920,148,205,1.384667
10.0,5,engagement_g00_d10.0,2961,108.118683,196.075920,48,479,3.235393
10.0,5,engagement_g05_d0.0,2961,48.624413,180.936103,151,194,1.310368
10.0,5,engagement_g05_d0.25,2961,54.734206,180.936103,150,192,1.296859
10.0,5,engagement_g05_d0.5,2961,57.445101,180.936103,150,192,1.296859
10.0,5,engagement_g05_d1.0,2961,61.736349,187.323161,150,185,1.249578
10.0,5,engagement_g05_d2.0,2961,70.667656,196.075920,149,187,1.263087
10.0,5,engagement_g05_d5.0,2961,97.985228,196.075920,147,205,1.384667
10.0,5,engagement_g05_d10.0,2961,109.534012,196.226590,36,512,3.458291
10.0,5,oracle_a1,2961,11.377666,61.083220,637,199,1.344140
20.0,1,static,3072,95.095354,184.634696,0,1224,7.968750
20.0,1,nearest,3072,92.342543,184.985015,25,629,4.095052
20.0,1,naive_target_aware,3072,25.863040,146.764870,75,195,1.269531
20.0,1,engagement_g00_d0.0,3072,25.863040,146.764870,75,195,1.269531
20.0,1,engagement_g00_d0.25,3072,28.556625,146.764870,75,190,1.236979
20.0,1,engagement_g00_d0.5,3072,29.478686,147.643028,75,189,1.230469
20.0,1,engagement_g00_d1.0,3072,31.581901,152.184830,75,189,1.230469
20.0,1,engagement_g00_d2.0,3072,35.182473,159.702466,75,188,1.223958
20.0,1,engagement_g00_d5.0,3072,46.122938,168.109128,75,200,1.302083
20.0,1,engagement_g00_d10.0,3072,63.544660,184.634696,75,223,1.451823
20.0,1,engagement_g05_d0.0,3072,26.200108,146.764870,75,195,1.269531
20.0,1,engagement_g05_d0.25,3072,28.630508,146.764870,75,191,1.243490
20.0,1,engagement_g05_d0.5,3072,29.511496,147.643028,75,190,1.236979
20.0,1,engagement_g05_d1.0,3072,31.595878,152.184830,75,189,1.230469
20.0,1,engagement_g05_d2.0,3072,35.182473,159.702466,75,188,1.223958
20.0,1,engagement_g05_d5.0,3072,46.122938,168.109128,75,200,1.302083
20.0,1,engagement_g05_d10.0,3072,63.544660,184.634696,75,223,1.451823
20.0,1,oracle_a1,3072,9.001824,55.074067,535,210,1.367188
20.0,2,static,3076,96.854622,184.361236,0,1260,8.192458
20.0,2,nearest,3076,91.387620,190.464828,5,1206,7.841352
20.0,2,naive_target_aware,3076,29.479070,170.739348,77,216,1.404421
