phase_duration,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
20.0,engagement_g05_d1.0,3009.800000,60.948339,2025.800000,50.987253,0.673036,0.006903,104.313338,8.697997,34.104455,2.926969,36.104455,2.926969,36.104455,2.926969,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g05_d10.0,3009.800000,60.948339,894.000000,52.559490,0.296861,0.011868,105.140610,9.907795,73.955764,7.390591,75.955764,7.390591,75.955764,7.390591,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g05_d2.0,3009.800000,60.948339,1905.800000,48.261786,0.633189,0.008941,104.717795,8.756120,38.410753,3.350866,40.410753,3.350866,40.410753,3.350866,0.000000,0.000000,0.000000,0.000000
20.0,engagement_g05_d5.0,3009.800000,60.948339,1523.800000,61.095826,0.506165,0.012677,104.557152,9.499515,51.630853,4.855954,53.630853,4.855954,53.630853,4.855954,0.000000,0.000000,0.000000,0.000000
20.0,naive_target_aware,3009.800000,60.948339,2212.000000,66.610810,0.734825,0.008327,104.257126,7.720314,27.659360,2.409533,29.659360,2.409533,29.659360,2.409533,0.000000,0.000000,0.000000,0.000000
20.0,nearest,3009.800000,60.948339,141.400000,39.828382,0.047091,0.013836,97.255915,4.365904,92.642650,3.370941,94.642650,3.370941,94.642650,3.370941,0.000000,0.000000,0.000000,0.000000
20.0,oracle_a1,3009.800000,60.948339,2469.200000,69.672089,0.820294,0.008407,41.463969,3.238030,7.451553,0.688106,9.451553,0.688106,9.451553,0.688106,0.000000,0.000000,0.000000,0.000000
20.0,static,3009.800000,60.948339,153.000000,29.359837,0.050760,0.009058,101.000646,5.156266,95.873077,4.975063,97.873077,4.975063,97.873077,4.975063,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d0.0,3009.800000,60.948339,2382.000000,67.900663,0.791317,0.007653,102.577283,7.445450,21.431360,2.130522,23.431360,2.130522,23.431360,2.130522,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d0.25,3009.800000,60.948339,2331.400000,63.685163,0.774525,0.007158,103.023674,7.955928,23.256586,2.352435,25.256586,2.352435,25.256586,2.352435,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d0.5,3009.800000,60.948339,2316.000000,62.849025,0.769414,0.007377,102.980748,7.954984,23.772808,2.397816,25.772808,2.397816,25.772808,2.397816,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d1.0,3009.800000,60.948339,2282.200000,55.674949,0.758225,0.006943,102.812946,8.582828,24.884578,2.604156,26.884578,2.604156,26.884578,2.604156,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d10.0,3009.800000,60.948339,1670.800000,46.116158,0.555083,0.007518,103.065253,11.436394,45.862030,5.283189,47.862030,5.283189,47.862030,5.283189,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d2.0,3009.800000,60.948339,2215.600000,49.777505,0.736137,0.008307,102.864553,9.171068,27.167702,2.951817,29.167702,2.951817,29.167702,2.951817,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g00_d5.0,3009.800000,60.948339,2013.200000,57.176918,0.668841,0.010416,102.851395,10.027973,34.071165,3.721132,36.071165,3.721132,36.071165,3.721132,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d0.0,3009.800000,60.948339,2374.400000,68.744454,0.788791,0.008472,102.607108,7.862861,21.699592,2.295250,23.699592,2.295250,23.699592,2.295250,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d0.25,3009.800000,60.948339,2330.200000,64.356041,0.774124,0.007470,103.206371,8.278887,23.342749,2.473273,25.342749,2.473273,25.342749,2.473273,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d0.5,3009.800000,60.948339,2315.000000,63.549194,0.769080,0.007749,103.219844,8.400349,23.867183,2.560821,25.867183,2.560821,25.867183,2.560821,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d1.0,3009.800000,60.948339,2281.800000,56.326725,0.758090,0.007232,102.883451,8.704350,24.917988,2.671378,26.917988,2.671378,26.917988,2.671378,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d10.0,3009.800000,60.948339,1670.600000,46.225534,0.555015,0.007461,103.057126,11.436471,45.865443,5.282736,47.865443,5.282736,47.865443,5.282736,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d2.0,3009.800000,60.948339,2215.600000,49.777505,0.736137,0.008307,102.864553,9.171068,27.167702,2.951817,29.167702,2.951817,29.167702,2.951817,0.000000,0.000000,0.000000,0.000000
40.0,engagement_g05_d5.0,3009.800000,60.948339,2013.200000,57.176918,0.668841,0.010416,102.851395,10.027973,34.071165,3.721132,36.071165,3.721132,36.071165,3.721132,0.000000,0.000000,0.000000,0.000000
40.0,naive_target_aware,3009.800000,60.948339,2382.000000,67.900663,0.791317,0.007653,102.577283,7.445450,21.431360,2.130522,23.431360,2.130522,23.431360,2.130522,0.000000,0.000000,0.000000,0.000000
40.0,nearest,3009.800000,60.948339,169.800000,34.332201,0.056576,0.012427,95.163366,8.252248,89.709875,6.787839,91.709875,6.787839,91.709875,6.787839,0.000000,0.000000,0.000000,0.000000
40.0,oracle_a1,3009.800000,60.948339,2488.000000,76.743078,0.826510,0.010851,43.362938,2.491600,7.524886,0.672867,9.524886,0.672867,9.524886,0.672867,0.000000,0.000000,0.000000,0.000000
40.0,static,3009.800000,60.948339,160.600000,65.869568,0.053357,0.022051,99.306362,8.812953,93.959815,7.981059,95.959815,7.981059,95.959815,7.981059,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g00_d0.0,3009.800000,60.948339,2480.800000,69.747401,0.824145,0.007815,102.540927,6.811673,18.050495,1.733999,20.050495,1.733999,20.050495,1.733999,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g00_d0.25,3009.800000,60.948339,2454.200000,66.428157,0.815321,0.006877,102.532685,6.697342,18.953659,1.720538,20.953659,1.720538,20.953659,1.720538,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g00_d0.5,3009.800000,60.948339,2446.200000,65.663536,0.812669,0.007054,102.428345,6.734245,19.209164,1.796154,21.209164,1.796154,21.209164,1.796154,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g00_d1.0,3009.800000,60.948339,2429.200000,61.058988,0.807048,0.006789,102.513391,7.608190,19.802492,1.977270,21.802492,1.977270,21.802492,1.977270,0.000000,0.000000,0.000000,0.000000
